500	0.000932
1000	0.003154
1500	0.006124
2000	0.012905
2500	0.021307
3000	0.025377
3500	0.034996
4000	0.046463
4500	0.063576
5000	0.079616
5500	0.095379
6000	0.117269
6500	0.143271
7000	0.164319
7500	0.191533
8000	0.227029
8500	0.271150
9000	0.306868
9500	0.341783
10000	0.380639
10500	0.439456
11000	0.458868
11500	0.508522
12000	0.533929
12500	0.592557
13000	0.662435
13500	0.804569
14000	0.761762
14500	0.815923
15000	0.874959
15500	0.929554
16000	0.999188
16500	1.054399
17000	1.146238
17500	1.224038
18000	1.296340
18500	1.357798
19000	1.438085
19500	1.573674
20000	1.744892
20500	1.737588
21000	1.756319
21500	1.919127
22000	1.935910
22500	2.091410
23000	2.151762
23500	2.243011
24000	2.422329
24500	2.447873
25000	2.548492
25500	2.661607
26000	2.762095
26500	2.886977
27000	3.085762
27500	3.090465
28000	3.251704
28500	3.378806
29000	3.482583
29500	3.598552
30000	3.803098
